धातु	गण	उपग्रह	लकार	पुरुष	वचनम्	रूपम्
पठ्	भ्वादि	परस्मैपद	लट्	प्रथम	एक	पठति
पठ्	भ्वादि	परस्मैपद	लट्	प्रथम	द्वि	पठतः
पठ्	भ्वादि	परस्मैपद	लट्	प्रथम	बहु	पठन्ति
पठ्	भ्वादि	परस्मैपद	लट्	मध्यम	एक	पठसि
पठ्	भ्वादि	परस्मैपद	लट्	मध्यम	द्वि	पठथः
पठ्	भ्वादि	परस्मैपद	लट्	मध्यम	बहु	पठथ
पठ्	भ्वादि	परस्मैपद	लट्	उत्तम	एक	पठामि
पठ्	भ्वादि	परस्मैपद	लट्	उत्तम	द्वि	पठावः
पठ्	भ्वादि	परस्मैपद	लट्	उत्तम	बहु	पठामः
पठ्	भ्वादि	परस्मैपद	लोट्	प्रथम	एक	पठतु
पठ्	भ्वादि	परस्मैपद	लोट्	प्रथम	द्वि	पठताम्
पठ्	भ्वादि	परस्मैपद	लोट्	प्रथम	बहु	पठन्तु
पठ्	भ्वादि	परस्मैपद	लोट्	मध्यम	एक	पठ
पठ्	भ्वादि	परस्मैपद	लोट्	मध्यम	द्वि	पठतम्
पठ्	भ्वादि	परस्मैपद	लोट्	मध्यम	बहु	पठत
पठ्	भ्वादि	परस्मैपद	लोट्	उत्तम	एक	पठानि
पठ्	भ्वादि	परस्मैपद	लोट्	उत्तम	द्वि	पठाव
पठ्	भ्वादि	परस्मैपद	लोट्	उत्तम	बहु	पठाम
पठ्	भ्वादि	परस्मैपद	लङ्	प्रथम	एक	अपठत्
पठ्	भ्वादि	परस्मैपद	लङ्	प्रथम	द्वि	अपठताम्
पठ्	भ्वादि	परस्मैपद	लङ्	प्रथम	बहु	अपठन्
पठ्	भ्वादि	परस्मैपद	लङ्	मध्यम	एक	अपठः
पठ्	भ्वादि	परस्मैपद	लङ्	मध्यम	द्वि	अपठतम्
पठ्	भ्वादि	परस्मैपद	लङ्	मध्यम	बहु	अपठत
पठ्	भ्वादि	परस्मैपद	लङ्	उत्तम	एक	अपठम्
पठ्	भ्वादि	परस्मैपद	लङ्	उत्तम	द्वि	अपठाव
पठ्	भ्वादि	परस्मैपद	लङ्	उत्तम	बहु	अपठाम
पठ्	भ्वादि	परस्मैपद	विधिलिङ्	प्रथम	एक	पठेत्
पठ्	भ्वादि	परस्मैपद	विधिलिङ्	प्रथम	द्वि	पठेताम्
पठ्	भ्वादि	परस्मैपद	विधिलिङ्	प्रथम	बहु	पठेयुः
पठ्	भ्वादि	परस्मैपद	विधिलिङ्	मध्यम	एक	पठेः
पठ्	भ्वादि	परस्मैपद	विधिलिङ्	मध्यम	द्वि	पठेतम्
पठ्	भ्वादि	परस्मैपद	विधिलिङ्	मध्यम	बहु	पठेत
पठ्	भ्वादि	परस्मैपद	विधिलिङ्	उत्तम	एक	पठेयम्
पठ्	भ्वादि	परस्मैपद	विधिलिङ्	उत्तम	द्वि	पठेव
पठ्	भ्वादि	परस्मैपद	विधिलिङ्	उत्तम	बहु	पठेम
पठ्	भ्वादि	परस्मैपद	लृट्	प्रथम	एक	पठिष्यति
पठ्	भ्वादि	परस्मैपद	लृट्	प्रथम	द्वि	पठिष्यतः
पठ्	भ्वादि	परस्मैपद	लृट्	प्रथम	बहु	पठिष्यन्ति
पठ्	भ्वादि	परस्मैपद	लृट्	मध्यम	एक	पठिष्यसि
