प्राति	लिङ्ग्	धातु	गण	उपग्	लक्	पुरु	वच्	__वाक्यम्__
राम	पुं	पठ्	भ्व्	पर	लट्	प्रथ्	एक	रामः पठति
राम	पुं	पठ्	भ्व्	पर	लट्	प्रथ्	द्वि	रामौ पठतः
राम	पुं	पठ्	भ्व्	पर	लट्	प्रथ्	बहु	रामाः पठन्ति
राम	पुं	पठ्	भ्व्	पर	लोट्	प्रथ्	एक	रामः पठतु
राम	पुं	पठ्	भ्व्	पर	लोट्	प्रथ्	द्वि	रामौ पठताम्
राम	पुं	पठ्	भ्व्	पर	लोट्	प्रथ्	बहु	रामाः पठन्तु
राम	पुं	पठ्	भ्व्	पर	लङ्	प्रथ्	एक	रामः अपठत्
राम	पुं	पठ्	भ्व्	पर	लङ्	प्रथ्	द्वि	रामौ अपठताम्
राम	पुं	पठ्	भ्व्	पर	लङ्	प्रथ्	बहु	रामाः अपठन्
राम	पुं	पठ्	भ्व्	पर	विधि	प्रथ्	एक	रामः पठेत्
राम	पुं	पठ्	भ्व्	पर	विधि	प्रथ्	द्वि	रामौ पठेताम्
राम	पुं	पठ्	भ्व्	पर	विधि	प्रथ्	बहु	रामाः पठेयुः
राम	पुं	पठ्	भ्व्	पर	लृट्	प्रथ्	एक	रामः पठिष्यति
राम	पुं	पठ्	भ्व्	पर	लृट्	प्रथ्	द्वि	रामौ पठिष्यतः
राम	पुं	पठ्	भ्व्	पर	लृट्	प्रथ्	बहु	रामाः पठिष्यन्ति
राम	पुं	पठ्	भ्व्	पर	लुट्	प्रथ्	एक	रामः पठिता
राम	पुं	पठ्	भ्व्	पर	लुट्	प्रथ्	द्वि	रामौ पठितारौ
राम	पुं	पठ्	भ्व्	पर	लुट्	प्रथ्	बहु	रामाः पठितारः
राम	पुं	पठ्	भ्व्	पर	आशीर्	प्रथ्	एक	रामः पठ्यात्
राम	पुं	पठ्	भ्व्	पर	आशीर्	प्रथ्	द्वि	रामौ पठ्यास्ताम्
राम	पुं	पठ्	भ्व्	पर	आशीर्	प्रथ्	बहु	रामाः पठ्यासुः
राम	पुं	पठ्	भ्व्	पर	लृङ्	प्रथ्	एक	रामः अपठिष्यत्
राम	पुं	पठ्	भ्व्	पर	लृङ्	प्रथ्	द्वि	रामौ अपठिष्यताम्
राम	पुं	पठ्	भ्व्	पर	लृङ्	प्रथ्	बहु	रामाः अपठिष्यन्
राम	पुं	पठ्	भ्व्	पर	लिट्	प्रथ्	एक	रामः पपाठ
राम	पुं	पठ्	भ्व्	पर	लिट्	प्रथ्	द्वि	रामौ पेठतुः
राम	पुं	पठ्	भ्व्	पर	लिट्	प्रथ्	बहु	रामाः पेठुः
राम	पुं	पठ्	भ्व्	पर	लुङ्	प्रथ्	एक	रामः अपाठीत्
राम	पुं	पठ्	भ्व्	पर	लुङ्	प्रथ्	द्वि	रामौ अपाठिष्टाम्
राम	पुं	पठ्	भ्व्	पर	लुङ्	प्रथ्	बहु	रामाः अपाठिषुः
राम	पुं	या	अद्	पर	लट्	प्रथ्	एक	रामः याति
राम	पुं	या	अद्	पर	लट्	प्रथ्	द्वि	रामौ यातः
राम	पुं	या	अद्	पर	लट्	प्रथ्	बहु	रामाः यान्ति
राम	पुं	या	अद्	पर	लोट्	प्रथ्	एक	रामः यातु
राम	पुं	या	अद्	पर	लोट्	प्रथ्	द्वि	रामौ याताम्
राम	पुं	या	अद्	पर	लोट्	प्रथ्	बहु	रामाः यान्तु
राम	पुं	या	अद्	पर	लङ्	प्रथ्	एक	रामः आयात्
राम	पुं	या	अद्	पर	लङ्	प्रथ्	द्वि	रामौ आयातम्
राम	पुं	या	अद्	पर	लङ्	प्रथ्	बहु	रामाः अयुः-अयान्
राम	पुं	या	अद्	पर	विधि	प्रथ्	एक	रामः यायात्
राम	पुं	या	अद्	पर	विधि	प्रथ्	द्वि	रामौ यायातम्
राम	पुं	या	अद्	पर	विधि	प्रथ्	बहु	रामाः यायुः
राम	पुं	या	अद्	पर	लृट्	प्रथ्	एक	रामः यास्यति
राम	पुं	या	अद्	पर	लृट्	प्रथ्	द्वि	रामौ यास्यतः
राम	पुं	या	अद्	पर	लृट्	प्रथ्	बहु	रामाः यास्यन्ति
राम	पुं	या	अद्	पर	लुट्	प्रथ्	एक	रामः याता
राम	पुं	या	अद्	पर	लुट्	प्रथ्	द्वि	रामौ यातारौ
राम	पुं	या	अद्	पर	लुट्	प्रथ्	बहु	रामाः यातारः
राम	पुं	या	अद्	पर	आशीर्	प्रथ्	एक	रामः यायात्
राम	पुं	या	अद्	पर	आशीर्	प्रथ्	द्वि	रामौ यायास्तम्
राम	पुं	या	अद्	पर	आशीर्	प्रथ्	बहु	रामाः यायासुः
राम	पुं	या	अद्	पर	लृङ्	प्रथ्	एक	रामः अयास्यत्
राम	पुं	या	अद्	पर	लृङ्	प्रथ्	द्वि	रामौ अयास्यताम्
राम	पुं	या	अद्	पर	लृङ्	प्रथ्	बहु	रामाः अयास्यन्
राम	पुं	या	अद्	पर	लिट्	प्रथ्	एक	रामः ययौ
राम	पुं	या	अद्	पर	लिट्	प्रथ्	द्वि	रामौ ययतुः
राम	पुं	या	अद्	पर	लिट्	प्रथ्	बहु	रामाः ययुः
राम	पुं	या	अद्	पर	लुङ्	प्रथ्	एक	रामः अयासीत्
राम	पुं	या	अद्	पर	लुङ्	प्रथ्	द्वि	रामौ अयासिष्टाम्
राम	पुं	या	अद्	पर	लुङ्	प्रथ्	बहु	रामाः अयासिषुः
राम	पुं	हु	जुहोत्य्	पर	लट्	प्रथ्	एक	रामः जहाति
राम	पुं	हु	जुहोत्य्	पर	लट्	प्रथ्	द्वि	रामौ जहीतः
राम	पुं	हु	जुहोत्य्	पर	लट्	प्रथ्	बहु	रामाः जहति
राम	पुं	हु	जुहोत्य्	पर	लोट्	प्रथ्	एक	रामः जहातु
राम	पुं	हु	जुहोत्य्	पर	लोट्	प्रथ्	द्वि	रामौ जहीताम्
राम	पुं	हु	जुहोत्य्	पर	लोट्	प्रथ्	बहु	रामाः जहतु
राम	पुं	हु	जुहोत्य्	पर	लङ्	प्रथ्	एक	रामः अजहात्
राम	पुं	हु	जुहोत्य्	पर	लङ्	प्रथ्	द्वि	रामौ अजहीताम्
राम	पुं	हु	जुहोत्य्	पर	लङ्	प्रथ्	बहु	रामाः अजहीत
राम	पुं	हु	जुहोत्य्	पर	विधि	प्रथ्	एक	रामः जह्यात्
राम	पुं	हु	जुहोत्य्	पर	विधि	प्रथ्	द्वि	रामौ जह्याताम्
राम	पुं	हु	जुहोत्य्	पर	विधि	प्रथ्	बहु	रामाः जह्युः
राम	पुं	हु	जुहोत्य्	पर	लृट्	प्रथ्	एक	रामः हास्यति
राम	पुं	हु	जुहोत्य्	पर	लृट्	प्रथ्	द्वि	रामौ हास्यतः
राम	पुं	हु	जुहोत्य्	पर	लृट्	प्रथ्	बहु	रामाः हास्यन्ति
राम	पुं	हु	जुहोत्य्	पर	लुट्	प्रथ्	एक	रामः हाता
राम	पुं	हु	जुहोत्य्	पर	लुट्	प्रथ्	द्वि	रामौ हातारौ
राम	पुं	हु	जुहोत्य्	पर	लुट्	प्रथ्	बहु	रामाः हातारः
राम	पुं	हु	जुहोत्य्	पर	आशीर्	प्रथ्	एक	रामः हेयात्
राम	पुं	हु	जुहोत्य्	पर	आशीर्	प्रथ्	द्वि	रामौ हेयास्ताम्
राम	पुं	हु	जुहोत्य्	पर	आशीर्	प्रथ्	बहु	रामाः हेयासुः
राम	पुं	हु	जुहोत्य्	पर	लृङ्	प्रथ्	एक	रामः अहास्यत्
राम	पुं	हु	जुहोत्य्	पर	लृङ्	प्रथ्	द्वि	रामौ अहास्यताम्
राम	पुं	हु	जुहोत्य्	पर	लृङ्	प्रथ्	बहु	रामाः अहास्यन्
राम	पुं	हु	जुहोत्य्	पर	लिट्	प्रथ्	एक	रामः जहौ
राम	पुं	हु	जुहोत्य्	पर	लिट्	प्रथ्	द्वि	रामौ जहतुः
राम	पुं	हु	जुहोत्य्	पर	लिट्	प्रथ्	बहु	रामाः जहुः
राम	पुं	हु	जुहोत्य्	पर	लुङ्	प्रथ्	एक	रामः अहासीत्
राम	पुं	हु	जुहोत्य्	पर	लुङ्	प्रथ्	द्वि	रामौ अहासिष्टम्
राम	पुं	हु	जुहोत्य्	पर	लुङ्	प्रथ्	बहु	रामाः अहासिष्ट
राम	पुं	क्षिप्	दिव्	पर	लट्	प्रथ्	एक	रामः क्षिप्यति
राम	पुं	क्षिप्	दिव्	पर	लट्	प्रथ्	द्वि	रामौ क्षिप्यतः
राम	पुं	क्षिप्	दिव्	पर	लट्	प्रथ्	बहु	रामाः क्षिप्यन्ति
राम	पुं	क्षिप्	दिव्	पर	लोट्	प्रथ्	एक	रामः क्षिप्यतु
राम	पुं	क्षिप्	दिव्	पर	लोट्	प्रथ्	द्वि	रामौ क्षिप्यताम्
राम	पुं	क्षिप्	दिव्	पर	लोट्	प्रथ्	बहु	रामाः क्षिप्यन्तु
राम	पुं	क्षिप्	दिव्	पर	लङ्	प्रथ्	एक	रामः अक्षिप्यत्
राम	पुं	क्षिप्	दिव्	पर	लङ्	प्रथ्	द्वि	रामौ अक्षिप्यताम्
राम	पुं	क्षिप्	दिव्	पर	लङ्	प्रथ्	बहु	रामाः अक्षिप्यन्
राम	पुं	क्षिप्	दिव्	पर	विधि	प्रथ्	एक	रामः क्षिप्येत्
राम	पुं	क्षिप्	दिव्	पर	विधि	प्रथ्	द्वि	रामौ क्षिप्येताम्
राम	पुं	क्षिप्	दिव्	पर	विधि	प्रथ्	बहु	रामाः क्षिप्येयुः
